Sl. No.,Year,Type,                                                                 RESERCH PAPER,TECHNOLGY
50,2024,Journal,"Few-shot remote sensing image scene classification: Recent advances, new baselines, and future trends","Few-Shot Learnin, Convolutional Neural Networks"
51,2024,Journal,Feature selection on real-time application using hybrid of flamingo search algorithm and improved non-dominated sorting genetic algorithm III,Optimization Algorithms
52,2024,Journal,Advanced Post-earthquake Building Damage Assessment: SAR Coherence Time Matrix with Vision Transformer,"Vision Transformer (ViT), Synthetic Aperture Radar (SAR) Coherence, Time Matrix Analysis."
53,2024,Journal,Generative AI in the Construction Industry: Opportunities & Challenges,"Generative AI, AI-based optimization, construction design, smart city planning"
54,2024,Review,"Advancements in Generative AI: A Comprehensive Review of GANs, GPT, Autoencoders, Diffusion Model, and Transformers",GPT
55,2024,Review,From Text to Transformation: A Comprehensive Review of Large Language Models' Versatility,LLM-based system
56,2024,Review,Generative AI Models for Different Steps in Architectural Design: A Literature Review,"NLP, Space Optimization Techniques"
57,2024,Review,Generative AI for Architectural Design: A Literature Review,"Generative AI, architecture design, deep learning"
58,2024,Review,ARTIFICIAL INTELLIGENCE IN ARCHITECTURE AND BUILT ENVIRONMENT DEVELOPMENT 2024: A CRITICAL REVIEW AND OUTLOOK,"AI in architecture, smart building design, generative AI, urban development"
59,2024,Review,"Generative AI Applications in Architecture, Engineering, and Construction: Trends, Implications for Practice, Education & Imperatives for Upskilling—A Review","AI in architecture, smart building design, generative AI, urban development"
60,2024,Review,"Leveraging generative AI for urban digital twins: a scoping review on the autonomous generation of urban data, scenarios, designs, and 3D city models for smart city advancement","Generative AI, 3D modeling, urban data generation, smart city models, digital twins"
